No.,Device Name,Receiving Time,GPS Time,Longitude,Latitude,Speed,Direction,BaseStation ID,Channel ID,Upstream Field Strength,Downstream Field Strength,Radio Power,Radio Battery Life
1,San Isidro, 06/08/2020 18:45:29 , 06/08/2020 18:45:29 ,-76.899319,-12.015824,37.04km/h,East,0,78,,,,
2,San Isidro, 06/08/2020 18:45:58 , 06/08/2020 18:45:57 ,-76.898460,-12.016221,50.00km/h,East,0,78,,,,
3,San Isidro, 06/08/2020 18:46:30 , 06/08/2020 18:46:29 ,-76.898246,-12.016436,0.00km/h,Southeast,0,78,,,,
4,San Isidro, 06/08/2020 18:47:00 , 06/08/2020 18:46:59 ,-76.898246,-12.016436,0.00km/h,Southeast,0,78,,,,
5,San Isidro, 06/08/2020 18:47:30 , 06/08/2020 18:47:29 ,-76.898246,-12.016436,0.00km/h,Southeast,0,78,,,,
6,San Isidro, 06/08/2020 18:48:00 , 06/08/2020 18:47:59 ,-76.898224,-12.016436,0.00km/h,Southeast,0,78,,,,
7,San Isidro, 06/08/2020 18:48:30 , 06/08/2020 18:48:29 ,-76.898203,-12.016511,14.82km/h,Southeast,0,78,,,,
8,San Isidro, 06/08/2020 18:49:00 , 06/08/2020 18:49:00 ,-76.897988,-12.017058,11.11km/h,Southeast,0,78,,,,
9,San Isidro, 06/08/2020 18:49:30 , 06/08/2020 18:49:29 ,-76.897860,-12.017412,0.00km/h,Southeast,0,78,,,,
10,San Isidro, 06/08/2020 18:50:00 , 06/08/2020 18:49:59 ,-76.897731,-12.017766,3.70km/h,Southeast,0,78,,,,
11,San Isidro, 06/08/2020 18:50:30 , 06/08/2020 18:50:29 ,-76.897666,-12.017992,9.26km/h,Southeast,0,78,,,,
12,San Isidro, 06/08/2020 18:51:00 , 06/08/2020 18:50:59 ,-76.897066,-12.018474,57.41km/h,Northeast,0,78,,,,
13,San Isidro, 06/08/2020 18:51:10 , 06/08/2020 18:51:09 ,-76.896057,-12.018217,64.82km/h,Northeast,0,78,,,,
14,San Isidro, 06/08/2020 18:51:27 , 06/08/2020 18:51:27 ,-76.895134,-12.017927,62.97km/h,Northeast,0,78,,,,
15,San Isidro, 06/08/2020 18:51:37 , 06/08/2020 18:51:36 ,-76.894083,-12.017573,88.90km/h,Northeast,0,78,,,,
16,San Isidro, 06/08/2020 18:51:47 , 06/08/2020 18:51:47 ,-76.892366,-12.017047,96.30km/h,Northeast,0,78,,,,
17,San Isidro, 06/08/2020 18:51:57 , 06/08/2020 18:51:57 ,-76.891422,-12.016726,48.15km/h,Northeast,0,78,,,,
18,San Isidro, 06/08/2020 18:52:19 , 06/08/2020 18:52:18 ,-76.890500,-12.016404,29.63km/h,Northeast,0,78,,,,
19,San Isidro, 06/08/2020 18:52:30 , 06/08/2020 18:52:29 ,-76.890285,-12.016339,7.41km/h,Northeast,0,78,,,,
20,San Isidro, 06/08/2020 18:53:00 , 06/08/2020 18:52:59 ,-76.890006,-12.016253,0.00km/h,Northeast,0,78,,,,
21,San Isidro, 06/08/2020 18:53:30 , 06/08/2020 18:53:29 ,-76.890006,-12.016253,1.85km/h,Northeast,0,78,,,,
22,San Isidro, 06/08/2020 18:53:47 , 06/08/2020 18:53:47 ,-76.889105,-12.015942,48.15km/h,Northeast,0,78,,,,
23,San Isidro, 06/08/2020 18:54:00 , 06/08/2020 18:53:59 ,-76.888740,-12.015824,5.56km/h,Northeast,0,78,,,,
24,San Isidro, 06/08/2020 18:54:30 , 06/08/2020 18:54:29 ,-76.888375,-12.015706,29.63km/h,Northeast,0,78,,,,
25,San Isidro, 06/08/2020 18:55:00 , 06/08/2020 18:54:59 ,-76.887517,-12.015395,0.00km/h,Northeast,0,78,,,,
26,San Isidro, 06/08/2020 18:55:30 , 06/08/2020 18:55:29 ,-76.887474,-12.015395,0.00km/h,Northeast,0,78,,,,
27,San Isidro, 06/08/2020 18:56:00 , 06/08/2020 18:56:00 ,-76.887109,-12.015277,18.52km/h,Northeast,0,78,,,,
28,San Isidro, 06/08/2020 18:56:30 , 06/08/2020 18:56:29 ,-76.886680,-12.015105,1.85km/h,Northeast,0,78,,,,
29,San Isidro, 06/08/2020 18:57:00 , 06/08/2020 18:56:59 ,-76.886015,-12.014880,31.48km/h,Northeast,0,78,,,,
30,San Isidro, 06/08/2020 18:57:30 , 06/08/2020 18:57:29 ,-76.885200,-12.014601,0.00km/h,Northeast,0,78,,,,
31,San Isidro, 06/08/2020 18:58:00 , 06/08/2020 18:57:59 ,-76.885200,-12.014601,0.00km/h,Northeast,0,78,,,,
32,San Isidro, 06/08/2020 18:58:28 , 06/08/2020 18:58:28 ,-76.884298,-12.014312,81.49km/h,Northeast,0,78,,,,
33,San Isidro, 06/08/2020 18:58:38 , 06/08/2020 18:58:38 ,-76.883333,-12.013979,38.89km/h,Northeast,0,78,,,,
34,San Isidro, 06/08/2020 18:58:48 , 06/08/2020 18:58:48 ,-76.882389,-12.013668,83.34km/h,Northeast,0,78,,,,
35,San Isidro, 06/08/2020 18:58:58 , 06/08/2020 18:58:58 ,-76.881015,-12.013217,75.93km/h,Northeast,0,78,,,,
36,San Isidro, 06/08/2020 18:59:09 , 06/08/2020 18:59:09 ,-76.880157,-12.012906,72.23km/h,Northeast,0,78,,,,
37,San Isidro, 06/08/2020 18:59:19 , 06/08/2020 18:59:19 ,-76.879127,-12.012584,77.78km/h,Northeast,0,78,,,,
38,San Isidro, 06/08/2020 18:59:29 , 06/08/2020 18:59:29 ,-76.877818,-12.012112,92.60km/h,Northeast,0,78,,,,
39,San Isidro, 06/08/2020 18:59:39 , 06/08/2020 18:59:39 ,-76.876059,-12.011554,103.71km/h,Northeast,0,78,,,,
40,San Isidro, 06/08/2020 18:59:49 , 06/08/2020 18:59:49 ,-76.874170,-12.010921,101.86km/h,Northeast,0,78,,,,
41,San Isidro, 06/08/2020 18:59:59 , 06/08/2020 18:59:59 ,-76.872368,-12.010471,92.60km/h,Northeast,0,78,,,,
42,San Isidro, 06/08/2020 19:00:09 , 06/08/2020 19:00:09 ,-76.871188,-12.010256,59.26km/h,East,0,78,,,,
43,San Isidro, 06/08/2020 19:00:25 , 06/08/2020 19:00:25 ,-76.870244,-12.010084,44.45km/h,Northeast,0,78,,,,
44,San Isidro, 06/08/2020 19:00:35 , 06/08/2020 19:00:35 ,-76.869171,-12.009891,79.64km/h,East,0,78,,,,
45,San Isidro, 06/08/2020 19:00:45 , 06/08/2020 19:00:45 ,-76.867883,-12.009655,85.19km/h,East,0,78,,,,
46,San Isidro, 06/08/2020 19:00:55 , 06/08/2020 19:00:55 ,-76.866703,-12.009462,79.64km/h,East,0,78,,,,
47,San Isidro, 06/08/2020 19:01:05 , 06/08/2020 19:01:05 ,-76.865351,-12.009183,72.23km/h,East,0,78,,,,
48,San Isidro, 06/08/2020 19:01:30 , 06/08/2020 19:01:29 ,-76.864986,-12.009130,5.56km/h,Northeast,0,78,,,,
49,San Isidro, 06/08/2020 19:01:52 , 06/08/2020 19:01:51 ,-76.864021,-12.008969,70.38km/h,East,0,78,,,,
50,San Isidro, 06/08/2020 19:02:02 , 06/08/2020 19:02:01 ,-76.862969,-12.008775,75.93km/h,Northeast,0,78,,,,
51,San Isidro, 06/08/2020 19:02:12 , 06/08/2020 19:02:11 ,-76.861746,-12.008550,81.49km/h,East,0,78,,,,
52,San Isidro, 06/08/2020 19:02:22 , 06/08/2020 19:02:21 ,-76.860480,-12.008303,83.34km/h,East,0,78,,,,
53,San Isidro, 06/08/2020 19:02:32 , 06/08/2020 19:02:31 ,-76.859000,-12.008057,90.75km/h,East,0,78,,,,
54,San Isidro, 06/08/2020 19:02:42 , 06/08/2020 19:02:41 ,-76.857820,-12.007810,62.97km/h,Northeast,0,78,,,,
55,San Isidro, 06/08/2020 19:02:52 , 06/08/2020 19:02:51 ,-76.856725,-12.007617,66.67km/h,East,0,78,,,,
56,San Isidro, 06/08/2020 19:03:02 , 06/08/2020 19:03:01 ,-76.855717,-12.007434,74.08km/h,East,0,78,,,,
57,San Isidro, 06/08/2020 19:03:12 , 06/08/2020 19:03:11 ,-76.854558,-12.007231,79.64km/h,East,0,78,,,,
58,San Isidro, 06/08/2020 19:03:25 , 06/08/2020 19:03:24 ,-76.853635,-12.007070,37.04km/h,East,0,78,,,,
59,San Isidro, 06/08/2020 19:03:44 , 06/08/2020 19:03:43 ,-76.852691,-12.006898,55.56km/h,East,0,78,,,,
60,San Isidro, 06/08/2020 19:03:54 , 06/08/2020 19:03:53 ,-76.851768,-12.006716,57.41km/h,East,0,78,,,,
61,San Isidro, 06/08/2020 19:04:07 , 06/08/2020 19:04:06 ,-76.850867,-12.006544,62.97km/h,East,0,78,,,,
62,San Isidro, 06/08/2020 19:04:19 , 06/08/2020 19:04:18 ,-76.849923,-12.006383,66.67km/h,East,0,78,,,,
63,San Isidro, 06/08/2020 19:04:29 , 06/08/2020 19:04:28 ,-76.848979,-12.006190,66.67km/h,East,0,78,,,,
64,San Isidro, 06/08/2020 19:04:41 , 06/08/2020 19:04:40 ,-76.847992,-12.006007,62.97km/h,Northeast,0,78,,,,
65,San Isidro, 06/08/2020 19:04:51 , 06/08/2020 19:04:50 ,-76.847069,-12.005814,66.67km/h,Northeast,0,78,,,,
66,San Isidro, 06/08/2020 19:05:00 , 06/08/2020 19:05:00 ,-76.846232,-12.005557,66.67km/h,Northeast,0,78,,,,
67,San Isidro, 06/08/2020 19:05:12 , 06/08/2020 19:05:11 ,-76.845331,-12.005192,46.30km/h,Northeast,0,78,,,,
68,San Isidro, 06/08/2020 19:05:30 , 06/08/2020 19:05:30 ,-76.844816,-12.004913,5.56km/h,Northeast,0,78,,,,
69,San Isidro, 06/08/2020 19:06:00 , 06/08/2020 19:06:00 ,-76.844816,-12.004924,0.00km/h,Northeast,0,78,,,,
70,San Isidro, 06/08/2020 19:06:24 , 06/08/2020 19:06:23 ,-76.844065,-12.004430,74.08km/h,Northeast,0,78,,,,
71,San Isidro, 06/08/2020 19:06:34 , 06/08/2020 19:06:33 ,-76.843057,-12.003615,81.49km/h,Northeast,0,78,,,,
72,San Isidro, 06/08/2020 19:06:44 , 06/08/2020 19:06:43 ,-76.842113,-12.002810,77.78km/h,Northeast,0,78,,,,
73,San Isidro, 06/08/2020 19:06:54 , 06/08/2020 19:06:54 ,-76.841147,-12.001984,75.93km/h,Northeast,0,78,,,,
74,San Isidro, 06/08/2020 19:07:04 , 06/08/2020 19:07:04 ,-76.840181,-12.001179,85.19km/h,Northeast,0,78,,,,
75,San Isidro, 06/08/2020 19:07:14 , 06/08/2020 19:07:14 ,-76.839302,-12.000407,55.56km/h,Northeast,0,78,,,,
76,San Isidro, 06/08/2020 19:07:27 , 06/08/2020 19:07:26 ,-76.838572,-11.999828,66.67km/h,Northeast,0,78,,,,
77,San Isidro, 06/08/2020 19:07:40 , 06/08/2020 19:07:39 ,-76.837821,-11.999205,68.52km/h,Northeast,0,78,,,,
78,San Isidro, 06/08/2020 19:07:49 , 06/08/2020 19:07:49 ,-76.836855,-11.998369,94.45km/h,Northeast,0,78,,,,
79,San Isidro, 06/08/2020 19:07:59 , 06/08/2020 19:07:59 ,-76.835546,-11.997242,92.60km/h,Northeast,0,78,,,,
80,San Isidro, 06/08/2020 19:08:09 , 06/08/2020 19:08:09 ,-76.834259,-11.996201,90.75km/h,Northeast,0,78,,,,
81,San Isidro, 06/08/2020 19:08:20 , 06/08/2020 19:08:19 ,-76.832757,-11.995343,92.60km/h,Northeast,0,78,,,,
82,San Isidro, 06/08/2020 19:08:30 , 06/08/2020 19:08:29 ,-76.831448,-11.994753,81.49km/h,Northeast,0,78,,,,
83,San Isidro, 06/08/2020 19:08:40 , 06/08/2020 19:08:39 ,-76.830161,-11.994249,88.90km/h,Northeast,0,78,,,,
84,San Isidro, 06/08/2020 19:08:50 , 06/08/2020 19:08:49 ,-76.828980,-11.993755,70.38km/h,Northeast,0,78,,,,
85,San Isidro, 06/08/2020 19:09:00 , 06/08/2020 19:09:00 ,-76.828315,-11.993465,33.34km/h,Northeast,0,78,,,,
86,San Isidro, 06/08/2020 19:09:30 , 06/08/2020 19:09:30 ,-76.827908,-11.993304,57.41km/h,Northeast,0,78,,,,
87,San Isidro, 06/08/2020 19:09:40 , 06/08/2020 19:09:40 ,-76.826749,-11.992832,87.04km/h,Northeast,0,78,,,,
88,San Isidro, 06/08/2020 19:09:50 , 06/08/2020 19:09:50 ,-76.825440,-11.992275,85.19km/h,Northeast,0,78,,,,
89,San Isidro, 06/08/2020 19:10:00 , 06/08/2020 19:10:00 ,-76.823938,-11.991695,96.30km/h,Northeast,0,78,,,,
90,San Isidro, 06/08/2020 19:10:10 , 06/08/2020 19:10:10 ,-76.822715,-11.991180,44.45km/h,Northeast,0,78,,,,
91,San Isidro, 06/08/2020 19:10:21 , 06/08/2020 19:10:20 ,-76.821835,-11.990794,75.93km/h,Northeast,0,78,,,,
92,San Isidro, 06/08/2020 19:10:30 , 06/08/2020 19:10:30 ,-76.821170,-11.990558,55.56km/h,Northeast,0,78,,,,
93,San Isidro, 06/08/2020 19:10:40 , 06/08/2020 19:10:40 ,-76.820011,-11.990021,85.19km/h,Northeast,0,78,,,,
94,San Isidro, 06/08/2020 19:10:50 , 06/08/2020 19:10:50 ,-76.819067,-11.989625,40.74km/h,Northeast,0,78,,,,
95,San Isidro, 06/08/2020 19:11:00 , 06/08/2020 19:11:00 ,-76.818788,-11.989506,9.26km/h,Northeast,0,78,,,,
96,San Isidro, 06/08/2020 19:11:30 , 06/08/2020 19:11:30 ,-76.818509,-11.989367,0.00km/h,Northeast,0,78,,,,
97,San Isidro, 06/08/2020 19:11:59 , 06/08/2020 19:11:58 ,-76.818874,-11.988498,38.89km/h,Northwest,0,78,,,,
98,San Isidro, 06/08/2020 19:12:15 , 06/08/2020 19:12:14 ,-76.819239,-11.987597,70.38km/h,Northwest,0,78,,,,
99,San Isidro, 06/08/2020 19:12:24 , 06/08/2020 19:12:24 ,-76.819668,-11.986631,74.08km/h,Northwest,0,78,,,,
100,San Isidro, 06/08/2020 19:12:50 , 06/08/2020 19:12:49 ,-76.820033,-11.985784,70.38km/h,Northwest,0,78,,,,
101,San Isidro, 06/08/2020 19:12:59 , 06/08/2020 19:12:59 ,-76.820462,-11.984818,68.52km/h,Northwest,0,78,,,,
102,San Isidro, 06/08/2020 19:13:15 , 06/08/2020 19:13:15 ,-76.821342,-11.984539,48.15km/h,Northwest,0,78,,,,
103,San Isidro, 06/08/2020 19:13:30 , 06/08/2020 19:13:29 ,-76.821685,-11.983670,27.78km/h,Northwest,0,78,,,,
104,San Isidro, 06/08/2020 19:13:47 , 06/08/2020 19:13:47 ,-76.822050,-11.982833,70.38km/h,Northwest,0,78,,,,
105,San Isidro, 06/08/2020 19:13:57 , 06/08/2020 19:13:57 ,-76.822414,-11.981964,46.30km/h,Northwest,0,78,,,,
106,San Isidro, 06/08/2020 19:14:12 , 06/08/2020 19:14:12 ,-76.823359,-11.981964,55.56km/h,West,0,78,,,,
107,San Isidro, 06/08/2020 19:14:22 , 06/08/2020 19:14:22 ,-76.824367,-11.982136,79.64km/h,West,0,78,,,,
108,San Isidro, 06/08/2020 19:14:32 , 06/08/2020 19:14:31 ,-76.825440,-11.982297,74.08km/h,West,0,78,,,,
109,San Isidro, 06/08/2020 19:14:42 , 06/08/2020 19:14:42 ,-76.826406,-11.982468,57.41km/h,Southwest,0,78,,,,
110,San Isidro, 06/08/2020 19:14:54 , 06/08/2020 19:14:54 ,-76.827371,-11.982769,75.93km/h,Southwest,0,78,,,,
111,San Isidro, 06/08/2020 19:15:04 , 06/08/2020 19:15:04 ,-76.828401,-11.983305,81.49km/h,Southwest,0,78,,,,
112,San Isidro, 06/08/2020 19:15:14 , 06/08/2020 19:15:14 ,-76.829538,-11.983874,79.64km/h,Southwest,0,78,,,,
113,San Isidro, 06/08/2020 19:15:24 , 06/08/2020 19:15:24 ,-76.830375,-11.984346,66.67km/h,Southwest,0,78,,,,
114,San Isidro, 06/08/2020 19:15:34 , 06/08/2020 19:15:34 ,-76.831276,-11.984807,48.15km/h,Southwest,0,78,,,,
115,San Isidro, 06/08/2020 19:15:49 , 06/08/2020 19:15:48 ,-76.832156,-11.985204,40.74km/h,Southwest,0,78,,,,
116,San Isidro, 06/08/2020 19:16:00 , 06/08/2020 19:16:00 ,-76.832521,-11.985354,44.45km/h,Southwest,0,78,,,,
117,San Isidro, 06/08/2020 19:16:15 , 06/08/2020 19:16:15 ,-76.833379,-11.985687,46.30km/h,Southwest,0,78,,,,
118,San Isidro, 06/08/2020 19:16:30 , 06/08/2020 19:16:30 ,-76.834173,-11.985987,16.67km/h,West,0,78,,,,
119,San Isidro, 06/08/2020 19:17:00 , 06/08/2020 19:17:00 ,-76.834173,-11.985977,0.00km/h,North,0,78,,,,
120,San Isidro, 06/08/2020 19:17:30 , 06/08/2020 19:17:30 ,-76.834173,-11.985977,0.00km/h,North,0,78,,,,
121,San Isidro, 06/08/2020 19:18:00 , 06/08/2020 19:18:00 ,-76.834173,-11.985977,0.00km/h,North,0,78,,,,
122,San Isidro, 06/08/2020 19:18:30 , 06/08/2020 19:18:30 ,-76.834173,-11.985977,0.00km/h,North,0,78,,,,
123,San Isidro, 06/08/2020 19:19:00 , 06/08/2020 19:19:00 ,-76.834173,-11.985977,0.00km/h,North,0,78,,,,
124,San Isidro, 06/08/2020 19:19:30 , 06/08/2020 19:19:30 ,-76.834173,-11.985977,0.00km/h,North,0,78,,,,
125,San Isidro, 06/08/2020 19:20:00 , 06/08/2020 19:20:00 ,-76.834173,-11.985977,0.00km/h,North,0,78,,,,
126,San Isidro, 06/08/2020 19:20:30 , 06/08/2020 19:20:30 ,-76.834173,-11.985977,0.00km/h,North,0,78,,,,
127,San Isidro, 06/08/2020 19:21:00 , 06/08/2020 19:21:00 ,-76.834173,-11.986020,7.41km/h,Northeast,0,78,,,,
128,San Isidro, 06/08/2020 19:21:17 , 06/08/2020 19:21:17 ,-76.833229,-11.985644,74.08km/h,Northeast,0,78,,,,
129,San Isidro, 06/08/2020 19:21:27 , 06/08/2020 19:21:27 ,-76.832285,-11.985247,74.08km/h,Northeast,0,78,,,,
130,San Isidro, 06/08/2020 19:21:42 , 06/08/2020 19:21:42 ,-76.831384,-11.984882,46.30km/h,Northeast,0,78,,,,
131,San Isidro, 06/08/2020 19:21:52 , 06/08/2020 19:21:52 ,-76.830504,-11.984432,74.08km/h,Northeast,0,78,,,,
132,San Isidro, 06/08/2020 19:22:03 , 06/08/2020 19:22:03 ,-76.829689,-11.984013,51.86km/h,Northeast,0,78,,,,
133,San Isidro, 06/08/2020 19:22:30 , 06/08/2020 19:22:30 ,-76.829216,-11.984721,35.19km/h,Southeast,0,78,,,,
134,San Isidro, 06/08/2020 19:23:00 , 06/08/2020 19:23:00 ,-76.829131,-11.985322,1.85km/h,Northeast,0,78,,,,
135,San Isidro, 06/08/2020 19:23:30 , 06/08/2020 19:23:30 ,-76.829152,-11.985301,0.00km/h,North,0,78,,,,
136,San Isidro, 06/08/2020 19:24:01 , 06/08/2020 19:24:00 ,-76.829131,-11.985301,0.00km/h,North,0,78,,,,
137,San Isidro, 06/08/2020 19:24:31 , 06/08/2020 19:24:30 ,-76.829131,-11.985301,0.00km/h,North,0,78,,,,
138,San Isidro, 06/08/2020 19:25:01 , 06/08/2020 19:25:00 ,-76.829131,-11.985301,0.00km/h,North,0,78,,,,
139,San Isidro, 06/08/2020 19:25:31 , 06/08/2020 19:25:30 ,-76.829131,-11.985301,1.85km/h,Northeast,0,78,,,,
140,San Isidro, 06/08/2020 19:26:01 , 06/08/2020 19:26:00 ,-76.828980,-11.985301,1.85km/h,East,0,78,,,,
141,San Isidro, 06/08/2020 19:26:31 , 06/08/2020 19:26:30 ,-76.828916,-11.985258,0.00km/h,Northeast,0,78,,,,
142,San Isidro, 06/08/2020 19:27:01 , 06/08/2020 19:27:00 ,-76.828895,-11.985258,1.85km/h,Northeast,0,78,,,,
143,San Isidro, 06/08/2020 19:27:31 , 06/08/2020 19:27:30 ,-76.828895,-11.985279,1.85km/h,North,0,78,,,,
144,San Isidro, 06/08/2020 19:28:01 , 06/08/2020 19:28:00 ,-76.828895,-11.985279,1.85km/h,South,0,78,,,,
145,San Isidro, 06/08/2020 19:28:31 , 06/08/2020 19:28:30 ,-76.828916,-11.985279,1.85km/h,South,0,78,,,,
146,San Isidro, 06/08/2020 19:29:01 , 06/08/2020 19:29:00 ,-76.828959,-11.985247,3.70km/h,South,0,78,,,,
147,San Isidro, 06/08/2020 19:29:31 , 06/08/2020 19:29:30 ,-76.828959,-11.985247,3.70km/h,West,0,78,,,,
148,San Isidro, 06/08/2020 19:30:01 , 06/08/2020 19:30:00 ,-76.828916,-11.985258,1.85km/h,East,0,78,,,,
149,San Isidro, 06/08/2020 19:30:31 , 06/08/2020 19:30:30 ,-76.828916,-11.985247,0.00km/h,North,0,78,,,,
150,San Isidro, 06/08/2020 19:31:01 , 06/08/2020 19:31:00 ,-76.828959,-11.985258,0.00km/h,North,0,78,,,,
151,San Isidro, 06/08/2020 19:31:31 , 06/08/2020 19:31:30 ,-76.828916,-11.985258,3.70km/h,Northeast,0,78,,,,
152,San Isidro, 06/08/2020 19:32:01 , 06/08/2020 19:32:00 ,-76.828916,-11.985226,0.00km/h,Northeast,0,78,,,,
153,San Isidro, 06/08/2020 19:32:31 , 06/08/2020 19:32:30 ,-76.828959,-11.985226,1.85km/h,Northwest,0,78,,,,
154,San Isidro, 06/08/2020 19:33:01 , 06/08/2020 19:33:00 ,-76.828916,-11.985226,0.00km/h,Northwest,0,78,,,,
155,San Isidro, 06/08/2020 19:33:31 , 06/08/2020 19:33:30 ,-76.828980,-11.985258,0.00km/h,West,0,78,,,,
156,San Isidro, 06/08/2020 19:34:01 , 06/08/2020 19:34:00 ,-76.828980,-11.985215,1.85km/h,West,0,78,,,,
157,San Isidro, 06/08/2020 19:34:31 , 06/08/2020 19:34:30 ,-76.828980,-11.985258,0.00km/h,West,0,78,,,,
158,San Isidro, 06/08/2020 19:35:01 , 06/08/2020 19:35:00 ,-76.828980,-11.985290,1.85km/h,Southwest,0,78,,,,
159,San Isidro, 06/08/2020 19:35:31 , 06/08/2020 19:35:30 ,-76.828980,-11.985258,1.85km/h,North,0,78,,,,
160,San Isidro, 06/08/2020 19:36:01 , 06/08/2020 19:36:00 ,-76.828980,-11.985258,0.00km/h,North,0,78,,,,
161,San Isidro, 06/08/2020 19:36:31 , 06/08/2020 19:36:30 ,-76.828959,-11.985247,1.85km/h,North,0,78,,,,
162,San Isidro, 06/08/2020 19:37:01 , 06/08/2020 19:37:00 ,-76.828959,-11.985258,1.85km/h,Northwest,0,78,,,,
163,San Isidro, 06/08/2020 19:37:31 , 06/08/2020 19:37:30 ,-76.828980,-11.985258,1.85km/h,West,0,78,,,,
164,San Isidro, 06/08/2020 19:38:01 , 06/08/2020 19:38:00 ,-76.828980,-11.985258,1.85km/h,West,0,78,,,,
165,San Isidro, 06/08/2020 19:38:31 , 06/08/2020 19:38:30 ,-76.828959,-11.985258,0.00km/h,West,0,78,,,,
166,San Isidro, 06/08/2020 19:39:01 , 06/08/2020 19:39:00 ,-76.828959,-11.985258,0.00km/h,West,0,78,,,,
167,San Isidro, 06/08/2020 19:39:31 , 06/08/2020 19:39:30 ,-76.828959,-11.985258,1.85km/h,West,0,78,,,,
168,San Isidro, 06/08/2020 19:40:01 , 06/08/2020 19:40:00 ,-76.828916,-11.985247,0.00km/h,West,0,78,,,,
169,San Isidro, 06/08/2020 19:40:31 , 06/08/2020 19:40:30 ,-76.828959,-11.985279,1.85km/h,West,0,78,,,,
170,San Isidro, 06/08/2020 19:41:01 , 06/08/2020 19:41:00 ,-76.828980,-11.985258,0.00km/h,West,0,78,,,,
171,San Isidro, 06/08/2020 19:41:31 , 06/08/2020 19:41:30 ,-76.829002,-11.985279,1.85km/h,Northwest,0,78,,,,
172,San Isidro, 06/08/2020 19:42:01 , 06/08/2020 19:42:00 ,-76.828959,-11.985279,1.85km/h,Northwest,0,78,,,,
173,San Isidro, 06/08/2020 19:42:31 , 06/08/2020 19:42:30 ,-76.828916,-11.985258,1.85km/h,Northwest,0,78,,,,
174,San Isidro, 06/08/2020 19:43:01 , 06/08/2020 19:43:00 ,-76.828959,-11.985258,3.70km/h,West,0,78,,,,
175,San Isidro, 06/08/2020 19:43:31 , 06/08/2020 19:43:30 ,-76.828959,-11.985279,0.00km/h,Northeast,0,78,,,,
176,San Isidro, 06/08/2020 19:44:01 , 06/08/2020 19:44:00 ,-76.828916,-11.985258,1.85km/h,East,0,78,,,,
177,San Isidro, 06/08/2020 19:44:31 , 06/08/2020 19:44:30 ,-76.828916,-11.985279,1.85km/h,East,0,78,,,,
178,San Isidro, 06/08/2020 19:45:00 , 06/08/2020 19:45:00 ,-76.828916,-11.985279,1.85km/h,Northwest,0,78,,,,
179,San Isidro, 06/08/2020 19:45:30 , 06/08/2020 19:45:30 ,-76.828959,-11.985258,0.00km/h,Northwest,0,78,,,,
180,San Isidro, 06/08/2020 19:46:01 , 06/08/2020 19:46:00 ,-76.828895,-11.985279,1.85km/h,Northwest,0,78,,,,
181,San Isidro, 06/08/2020 19:46:31 , 06/08/2020 19:46:30 ,-76.828959,-11.985279,1.85km/h,Northwest,0,78,,,,
182,San Isidro, 06/08/2020 19:47:01 , 06/08/2020 19:47:00 ,-76.828959,-11.985279,1.85km/h,Northwest,0,78,,,,
183,San Isidro, 06/08/2020 19:47:31 , 06/08/2020 19:47:30 ,-76.828959,-11.985258,1.85km/h,Northwest,0,78,,,,
184,San Isidro, 06/08/2020 19:48:01 , 06/08/2020 19:48:01 ,-76.828959,-11.985290,1.85km/h,West,0,78,,,,
185,San Isidro, 06/08/2020 19:48:31 , 06/08/2020 19:48:31 ,-76.828959,-11.985258,1.85km/h,West,0,78,,,,
186,San Isidro, 06/08/2020 19:49:01 , 06/08/2020 19:49:00 ,-76.828959,-11.985279,3.70km/h,West,0,78,,,,
187,San Isidro, 06/08/2020 19:49:31 , 06/08/2020 19:49:30 ,-76.828916,-11.985279,1.85km/h,Southwest,0,78,,,,
188,San Isidro, 06/08/2020 19:50:01 , 06/08/2020 19:50:01 ,-76.828959,-11.985247,1.85km/h,Northwest,0,78,,,,
189,San Isidro, 06/08/2020 19:50:31 , 06/08/2020 19:50:31 ,-76.828959,-11.985279,1.85km/h,Northwest,0,78,,,,
190,San Isidro, 06/08/2020 19:51:01 , 06/08/2020 19:51:01 ,-76.828895,-11.985258,0.00km/h,East,0,78,,,,
191,San Isidro, 06/08/2020 19:51:31 , 06/08/2020 19:51:31 ,-76.828830,-11.985301,0.00km/h,East,0,78,,,,
192,San Isidro, 06/08/2020 19:52:01 , 06/08/2020 19:52:01 ,-76.828916,-11.985258,0.00km/h,Northwest,0,78,,,,
193,San Isidro, 06/08/2020 19:52:31 , 06/08/2020 19:52:31 ,-76.828959,-11.985258,0.00km/h,Northwest,0,78,,,,
194,San Isidro, 06/08/2020 19:53:01 , 06/08/2020 19:53:01 ,-76.828959,-11.985279,0.00km/h,Northwest,0,78,,,,
195,San Isidro, 06/08/2020 19:53:31 , 06/08/2020 19:53:31 ,-76.828959,-11.985258,0.00km/h,Northwest,0,78,,,,
196,San Isidro, 06/08/2020 19:54:01 , 06/08/2020 19:54:01 ,-76.828959,-11.985279,0.00km/h,Northwest,0,78,,,,
197,San Isidro, 06/08/2020 19:54:31 , 06/08/2020 19:54:31 ,-76.828916,-11.985279,0.00km/h,Northwest,0,78,,,,
198,San Isidro, 06/08/2020 19:55:01 , 06/08/2020 19:55:01 ,-76.828980,-11.985258,0.00km/h,West,0,78,,,,
